lineage	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter lanienae	0	0.00000	0	0.00000	21	0.00001	0	0.00000	39	0.00001	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Holosporaceae;g__Candidatus Cytomitobacter;s__Candidatus Cytomitobacter primus	0	0.00000	0	0.00000	57	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rosistilla;s__Rosistilla carotiformis	0	0.00000	0	0.00000	22	0.00001	0	0.00000	20	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Thiomicrorhabdus;s__Thiomicrorhabdus xiamenensis	0	0.00000	0	0.00000	17	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Halothiobacillaceae;g__Halothiobacillus;s__Halothiobacillus neapolitanus	0	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__Haliscomenobacter;s__Haliscomenobacter hydrossis	348	0.00008	0	0.00000	137	0.00004	0	0.00000	647	0.00010	0	0.00000	44	0.00001
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas campestris	0	0.00000	0	0.00000	0	0.00000	0	0.00000	578	0.00009	0	0.00000	12	0.00000
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter aceti	692	0.00017	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Allofrancisella;s__Allofrancisella frigidaquae	0	0.00000	11	0.00000	16	0.00000	0	0.00000	35	0.00001	0	0.00000	0	0.00000
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus thermoleovorans	0	0.00000	0	0.00000	151	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Runella;s__Runella slithyformis	0	0.00000	0	0.00000	25	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	525	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	93	0.00002
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus sp. BIHB4019	378	0.00009	8083	0.00083	176	0.00005	102	0.00002	0	0.00000	0	0.00000	0	0.00000
