lineage	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingosinithalassobacter;s_Unclassified_Sphingosinithalassobacter	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Liberibacter;s_Liberibacter_Crescens	17	0.00000	0	0.00000	53	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Clostridia;f_Clostridiales;g_Oscillospiraceae;s_Oscillibacter	884	0.00021	0	0.00000	206	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bartonellaceae;g_Bartonella;s_Bartonella_Krasnovii	68	0.00002	0	0.00000	0	0.00000	0	0.00000	60	0.00001	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Delta/Epsilon_Subdivisions;o_Epsilonproteobacteria;f_Campylobacterales;g_Campylobacteraceae;s_Campylobacter	0	0.00000	0	0.00000	21	0.00001	0	0.00000	39	0.00001	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Holosporales;f_Holosporaceae;g_Candidatus_Cytomitobacter;s_Candidatus_Cytomitobacter_Primus	0	0.00000	0	0.00000	57	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Pvc_Group;c_Planctomycetes;o_Planctomycetia;f_Pirellulales;g_Pirellulaceae;s_Rosistilla	0	0.00000	0	0.00000	22	0.00001	0	0.00000	20	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Thiotrichales;f_Piscirickettsiaceae;g_Thiomicrorhabdus;s_Thiomicrorhabdus_Xiamenensis	0	0.00000	0	0.00000	17	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Chromatiales;f_Halothiobacillaceae;g_Halothiobacillus;s_Halothiobacillus_Neapolitanus	0	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Saprospiria;g_Saprospirales;s_Haliscomenobacteraceae	348	0.00008	0	0.00000	137	0.00004	0	0.00000	647	0.00010	0	0.00000	44	0.00001
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Xanthomonas;s_Xanthomonas_Campestris	0	0.00000	0	0.00000	0	0.00000	0	0.00000	578	0.00009	0	0.00000	12	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Acetobacteraceae;g_Acetobacter;s_Acetobacter_Subgen._Acetobacter	692	0.00017	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Thiotrichales;f_Francisellaceae;g_Allofrancisella;s_Allofrancisella_Frigidaquae	0	0.00000	11	0.00000	16	0.00000	0	0.00000	35	0.00001	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Bacillaceae;s_Geobacillus	0	0.00000	0	0.00000	151	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Cytophagia;g_Cytophagales;s_Cytophagaceae	0	0.00000	0	0.00000	25	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Actinobacteria;o_Actinomycetia;f_Bifidobacteriales;g_Bifidobacteriaceae;s_Bifidobacterium	525	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	93	0.00002
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Paenibacillaceae;s_Paenibacillus	378	0.00009	8083	0.00083	176	0.00005	102	0.00002	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Leptospirales;f_Leptospiraceae;g_Leptospira;s_Leptospira_Mayottensis	404	0.00010	0	0.00000	53	0.00002	0	0.00000	0	0.00000	0	0.00000	129	0.00002
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Rhodanobacteraceae;g_Dyella;s_Unclassified_Dyella	0	0.00000	0	0.00000	21	0.00001	16	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Baculoviridae;p_Alphabaculovirus;c_Choristoneura_Fumiferana_Multiple_Nucleopolyhedrovirus	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	105	0.00064	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Clostridia;f_Clostridiales;g_Eubacteriaceae;s_Eubacterium	173	0.00004	61	0.00001	1173	0.00034	0	0.00000	80	0.00001	510	0.00312	3320	0.00063
r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Rhodobaca;s_Rhodobaca_Barguzinensis	0	0.00000	193	0.00002	23	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Cytophagia;g_Cytophagales;s_Cytophagaceae	152	0.00004	0	0.00000	156	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
