lineage	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Cyanobacteria/Melainabacteria_Group;f_Cyanobacteria;g_Nostocales;s_Nostocaceae	231	0.00006	0	0.00000	501	0.00014	0	0.00000	42	0.00001	0	0.00000	21	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Gammaproteobacteria;f_Enterobacterales;g_Enterobacteriaceae;s_Cedecea	67	0.00002	0	0.00000	52	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Fcb_Group;o_Bacteroidetes/Chlorobi_Group;f_Bacteroidetes;g_Sphingobacteriia;s_Sphingobacteriales	27	0.00001	0	0.00000	23	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Alphaproteobacteria;f_Caulobacterales;g_Caulobacteraceae;s_Caulobacter	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Firmicutes;f_Bacilli;g_Bacillales;s_Bacillales_Incertae_Sedis	0	0.00000	0	0.00000	192	0.00006	0	0.00000	0	0.00000	127	0.00078	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Gammaproteobacteria;f_Thiotrichales;g_Piscirickettsiaceae;s_Thiomicrospira	62	0.00002	0	0.00000	20	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Firmicutes;f_Clostridia;g_Clostridiales;s_Clostridiaceae	2213	0.00054	80	0.00001	4894	0.00141	17	0.00000	885	0.00013	91	0.00056	462	0.00009
r_Root;p_Bacteria;c_Proteobacteria;o_Betaproteobacteria;f_Burkholderiales;g_Burkholderiaceae;s_Chitinimonas	0	0.00000	0	0.00000	46	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Alphaproteobacteria;f_Sphingomonadales;g_Sphingomonadaceae;s_Sphingosinithalassobacter	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Alphaproteobacteria;f_Rhizobiales;g_Rhizobiaceae;s_Liberibacter	17	0.00000	0	0.00000	53	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Firmicutes;f_Clostridia;g_Clostridiales;s_Oscillospiraceae	884	0.00021	0	0.00000	206	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Alphaproteobacteria;f_Rhizobiales;g_Bartonellaceae;s_Bartonella	68	0.00002	0	0.00000	0	0.00000	0	0.00000	60	0.00001	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Delta/Epsilon_Subdivisions;f_Epsilonproteobacteria;g_Campylobacterales;s_Campylobacteraceae	0	0.00000	0	0.00000	21	0.00001	0	0.00000	39	0.00001	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Alphaproteobacteria;f_Holosporales;g_Holosporaceae;s_Candidatus_Cytomitobacter	0	0.00000	0	0.00000	57	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Pvc_Group;o_Planctomycetes;f_Planctomycetia;g_Pirellulales;s_Pirellulaceae	0	0.00000	0	0.00000	22	0.00001	0	0.00000	20	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Gammaproteobacteria;f_Thiotrichales;g_Piscirickettsiaceae;s_Thiomicrorhabdus	0	0.00000	0	0.00000	17	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Gammaproteobacteria;f_Chromatiales;g_Halothiobacillaceae;s_Halothiobacillus	0	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Fcb_Group;o_Bacteroidetes/Chlorobi_Group;f_Bacteroidetes;g_Saprospiria;s_Saprospirales	348	0.00008	0	0.00000	137	0.00004	0	0.00000	647	0.00010	0	0.00000	44	0.00001
r_Root;p_Bacteria;c_Proteobacteria;o_Gammaproteobacteria;f_Xanthomonadales;g_Xanthomonadaceae;s_Xanthomonas	0	0.00000	0	0.00000	0	0.00000	0	0.00000	578	0.00009	0	0.00000	12	0.00000
