"OTUs"	"N2"	"N3"	"N4"	"E1"	"E3"	"E4"	"E5"
497	19	0	32	0	0	0	0
498	0	0	155	0	0	0	0
499	334	0	30	598	0	0	983
500	113	0	124	0	0	0	0
501	414	0	929	0	0	0	0
502	32	0	88	0	28	118	10
503	63	0	80	0	1030	0	0
504	94	0	0	0	0	0	39
505	450	0	101	0	0	0	1173
506	0	0	0	24	0	0	0
507	75	0	148	0	0	0	0
508	145	19	10	0	0	0	0
509	0	0	0	0	0	0	77
510	124	0	150	0	0	66	0
511	0	0	68	0	0	0	0
512	594	0	21	0	0	0	0
513	76	0	350	120	0	0	352
514	38	14	283	0	0	0	0
515	0	0	151	0	0	0	0
516	1761	0	0	0	0	0	0
517	0	0	110	0	0	0	0
518	0	0	10	33	56	0	15
519	4376	0	54	0	0	0	0
520	0	0	0	168	0	0	0
521	0	0	62	48	44	0	16
522	188	191	831	0	13301	0	0
523	0	0	318	0	0	0	0
524	232	1645	2326	12	10	0	102
525	0	14	19	0	14	0	0
526	100	171	1544	0	0	0	0
527	0	0	0	619	0	0	0
528	0	19	0	0	0	0	0
529	55	0	245	17	108	0	11
530	12	69135	374	0	0	0	0
531	0	0	14	0	0	0	0
532	33	0	45	51	953	0	417
533	583	12	2535	0	672	0	0
534	514	35852	599	0	0	0	29
535	16	0	0	0	0	0	0
536	17	10	27	0	0	0	0
537	14	0	0	0	0	0	0
538	10	16	138	0	0	0	0
539	0	0	23	0	73	0	0
540	0	87	23	0	0	0	0
541	22	136	110	0	13	0	22
542	38	0	27	32	0	0	14
543	0	0	60	0	49	0	0
544	0	0	0	0	0	13	0
545	72	0	325	191	573	0	0
546	0	0	80	0	0	0	0
547	14	0	218	0	0	0	18363
548	0	0	0	11	0	0	0
549	0	18	23	0	1891	0	0
550	0	0	54	0	0	0	0
551	67	0	190	0	188	0	0
552	0	0	0	365	0	0	27
553	0	0	22	0	40	0	0
554	198	0	776	119	93	129	494
555	365	0	83	0	35	0	76
556	174	0	204	0	1554	0	10
557	0	0	68	0	0	0	0
558	253	0	76	0	0	0	0
559	62	0	68	385	3073	0	19
560	27	0	115	0	0	0	0
561	0	0	29	0	0	0	29
562	0	0	0	0	0	0	47
563	11	0	17	17	0	0	0
564	64	0	326	0	7976	0	0
565	800	445	11	544	18	0	0
566	116	0	353	155	0	0	54
567	40	0	71	38	0	0	0
568	0	0	0	0	22	66	0
569	230	0	123	473	0	0	0
570	0	0	18	0	0	0	0
571	0	24	0	0	0	0	0
572	0	0	0	0	0	0	466
573	98	0	40	19	0	0	0
574	143	0	263	0	3708	0	21
575	0	0	0	0	78	0	0
576	0	0	54	0	2356	0	0
577	18	0	574	1379	0	0	0
578	0	0	294	0	0	0	0
579	0	0	103	0	0	0	0
580	0	0	0	0	43	0	0
581	0	0	159	0	52	0	0
582	2145	1806	2374	0	0	205	55
583	0	0	50	0	0	0	0
584	269	0	359	0	1188	0	0
585	65	0	149	8418	0	0	14
586	0	0	26	0	0	0	0
587	57	0	0	0	0	0	0
588	5649	598	24816	3384	11160	179	36638
589	54	72	25	0	0	0	9091
590	112	208	191	0	0	0	10
591	0	0	0	0	0	0	0
592	0	0	0	0	11	0	301
593	234	0	59	0	0	0	0
594	0	0	45	0	0	0	0
595	26	0	883	1389	0	0	188
596	61	0	16	0	0	0	0
597	210	0	314	0	0	0	0
598	69	0	0	0	0	0	0
599	0	19	0	0	0	0	254
600	17	0	0	0	0	0	0
